Child Name,Email Address,Contact,follow up,response,Introduction,"Activity:- Know your personality, a fun way",A Simple Quiz on the previous Video,Lets see what ‘Product’ is…,A Simple Quiz on the previous Video,Product that represents me,Let's see what 'Service' means,A Simple Quiz on the previous Video,Instruction for 'Product &amp; Service' worksheet,Activity:- Product and Service Worksheet,Instructions for Product Word Association,Activity:- Product Word Association,Life without products??.... Impossible !,What Is a Need?,A Simple Quiz on the previous Video,Summary of Session 1,Your Feedback on Session 1
David Wright,David.Wright@yahoo.co.in,NA,NA,NA,"Completed Sunday, 13 November 2016, 5:52 PM","Completed Sunday, 13 November 2016, 5:55 PM","Completed (achieved pass grade) Sunday, 13 November 2016, 5:55 PM","Completed Sunday, 13 November 2016, 5:55 PM","Completed Sunday, 13 November 2016, 8:40 PM","Completed Sunday, 13 November 2016, 8:55 PM","Completed Sunday, 13 November 2016, 8:55 PM","Completed (achieved pass grade) Sunday, 13 November 2016, 8:57 PM","Completed Sunday, 13 November 2016, 8:57 PM","Completed (achieved pass grade) Sunday, 13 November 2016, 9:03 PM","Completed Sunday, 13 November 2016, 9:04 PM","Completed Sunday, 13 November 2016, 9:12 PM","Completed Sunday, 13 November 2016, 9:12 PM","Completed Sunday, 13 November 2016, 10:05 PM","Completed (achieved pass grade) Monday, 14 November 2016, 10:04 AM","Completed Monday, 14 November 2016, 10:13 AM","Completed Monday, 14 November 2016, 10:19 AM"
Michael Robertson,Michael.Robertson@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
John Carlson,John.Carlson@gmail.com,7938213456,"got irritated, as already spoken to some one 2 days back. His sons laptop is not working",time issue,"Completed Wednesday, 16 November 2016, 7:45 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Karen Velazquez,Karen.Velazquez@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Kimberly Taylor,Kimberly.Taylor@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
William Moon,William.Moon@gmail.com,9588920100,"was busy , will complete first session in 3 days",time issue,"Completed Sunday, 20 November 2016, 11:18 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
James Townsend,James.Townsend@gmail.com,7709930586,no is incorrect,not reachable,"Completed Sunday, 20 November 2016, 3:45 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Carla Mitchell,Carla.Mitchell@yahoo.com,9833067049,not responding,not reachable,"Completed Tuesday, 15 November 2016, 10:12 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Anthony Moss,Anthony.Moss@gmail.com,9826456590,"not responding/ spoke to her, she forgot her password so didnt continue",Tech issue,"Completed Wednesday, 16 November 2016, 3:22 PM","Completed Wednesday, 16 November 2016, 3:33 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Samuel Peterson,Samuel.Peterson@gmail.com,NA,NA,NA,"Completed Monday, 14 November 2016, 11:25 PM","Completed Monday, 14 November 2016, 11:33 PM","Completed (achieved pass grade) Monday, 14 November 2016, 11:35 PM","Completed Thursday, 17 November 2016, 6:09 PM","Completed Thursday, 17 November 2016, 6:18 PM","Completed Thursday, 17 November 2016, 6:36 PM","Completed Thursday, 17 November 2016, 6:36 PM","Completed (achieved pass grade) Friday, 18 November 2016, 4:12 PM","Completed Friday, 18 November 2016, 4:12 PM","Completed (achieved pass grade) Friday, 18 November 2016, 4:21 PM","Completed Friday, 18 November 2016, 4:21 PM","Completed Friday, 18 November 2016, 4:29 PM","Completed Friday, 18 November 2016, 4:30 PM","Completed Friday, 18 November 2016, 4:36 PM","Completed (achieved pass grade) Friday, 18 November 2016, 4:46 PM","Completed Friday, 18 November 2016, 4:46 PM","Completed Friday, 18 November 2016, 4:52 PM"
Haley Jones,Haley.Jones@gmail.com,9946185881,,,"Completed Tuesday, 15 November 2016, 5:19 PM","Completed Tuesday, 15 November 2016, 5:28 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 5:30 PM","Completed Tuesday, 15 November 2016, 5:30 PM","Completed Tuesday, 15 November 2016, 5:41 PM","Completed Tuesday, 15 November 2016, 5:46 PM","Completed Tuesday, 15 November 2016, 5:48 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 5:56 PM","Completed Tuesday, 15 November 2016, 5:56 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 6:04 PM","Completed Tuesday, 15 November 2016, 6:04 PM","Completed Tuesday, 15 November 2016, 6:21 PM","Completed Tuesday, 15 November 2016, 6:21 PM",Not completed,Not completed,Not completed,Not completed
Gary Hamilton,Gary.Hamilton@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Caitlin Day,Caitlin.Day@yahoo.com,7734558790,,,"Completed Tuesday, 15 November 2016, 6:44 PM","Completed Tuesday, 15 November 2016, 7:53 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 7:55 PM","Completed Tuesday, 15 November 2016, 7:55 PM","Completed Tuesday, 15 November 2016, 8:04 PM","Not completed Thursday, 1 January 1970, 5:30 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Aaron Jones,Aaron.Jones@gmail.com,9760499830,not interested.,not interested,"Completed Monday, 14 November 2016, 10:03 AM","Completed Monday, 14 November 2016, 10:05 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Vanessa Kim,Vanessa.Kim@gmail.com,,didnt find it relevant,not interested,"Completed Friday, 18 November 2016, 12:40 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Debra Lambert,Debra.Lambert@gmail.com,9371613731,not responding,not reachable,"Completed Tuesday, 15 November 2016, 7:15 PM","Completed Tuesday, 15 November 2016, 7:32 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 7:33 PM","Completed Tuesday, 15 November 2016, 7:33 PM","Completed Tuesday, 15 November 2016, 7:44 PM","Completed Tuesday, 15 November 2016, 7:52 PM","Completed Tuesday, 15 November 2016, 7:53 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 8:30 PM","Completed Tuesday, 15 November 2016, 8:30 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 8:36 PM","Completed Tuesday, 15 November 2016, 8:36 PM","Completed Tuesday, 15 November 2016, 8:43 PM","Completed Tuesday, 15 November 2016, 8:43 PM","Completed Tuesday, 15 November 2016, 8:49 PM",Not completed,Not completed,Not completed
Steve Hunt,Steve.Hunt@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Joseph Frazier,Joseph.Frazier@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Larry Mitchell,Larry.Mitchell@gmail.com,,,,"Completed Sunday, 20 November 2016, 7:39 PM","Completed Sunday, 20 November 2016, 7:47 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:14 PM","Completed Sunday, 20 November 2016, 8:15 PM","Completed Sunday, 20 November 2016, 8:31 PM","Completed Sunday, 20 November 2016, 8:41 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Brian Mitchell MD,Brian.Mitchell.MD@gmail.com,,invalid no,not reachable,"Completed Wednesday, 16 November 2016, 10:09 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Casey Holmes,Casey.Holmes@gmail.com,,,,"Completed Monday, 14 November 2016, 6:24 PM","Completed Monday, 14 November 2016, 6:32 PM","Completed (achieved pass grade) Monday, 14 November 2016, 6:33 PM","Completed Monday, 14 November 2016, 6:34 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Robin Barber,Robin.Barber@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Bradley Mack,Bradley.Mack@ukapoor.net,9545679711,14 year old son is doing who finds it bit funny and kiddish.Mother is hopeful as the course progresses son will be beneficial of whatever said and promised about it.,,"Completed Monday, 14 November 2016, 7:51 PM","Completed Monday, 14 November 2016, 9:35 PM","Completed (achieved pass grade) Monday, 14 November 2016, 9:42 PM","Completed Monday, 14 November 2016, 9:42 PM","Completed Sunday, 20 November 2016, 6:27 PM","Completed Sunday, 20 November 2016, 7:55 PM","Completed Sunday, 20 November 2016, 7:55 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Rachel Bray,Rachel.Bray@gmail.com,,,,"Completed Monday, 14 November 2016, 12:36 PM","Completed Monday, 14 November 2016, 8:15 PM","Completed (achieved pass grade) Friday, 18 November 2016, 4:08 PM","Completed Friday, 18 November 2016, 4:08 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Courtney Reed,Courtney.Reed@gmail.com,,,,"Completed Monday, 14 November 2016, 11:41 PM","Completed Monday, 14 November 2016, 11:48 PM","Completed (achieved pass grade) Monday, 14 November 2016, 11:51 PM","Completed Monday, 14 November 2016, 11:52 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Scott Mills,Scott.Mills@gmail.com,8660837254,"son was unwell , and also exams were going on , had issues with navigation as he did not find it user friendly, probably try to do it by week end , when asked about experience so far , mother responded with OK, but was very hopeful that by 2-3 more sessions son will find it interested.",time issue,"Completed Sunday, 13 November 2016, 6:11 PM","Completed Sunday, 13 November 2016, 6:20 PM","Completed (achieved pass grade) Sunday, 13 November 2016, 6:21 PM","Completed Sunday, 13 November 2016, 6:22 PM","Completed Monday, 14 November 2016, 8:20 PM","Not completed Thursday, 1 January 1970, 5:30 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Carrie Johnson,Carrie.Johnson@gmail.com,,"hasnt got time, will try and finish it this week",time issue,"Completed Tuesday, 15 November 2016, 4:40 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Mr. Alex Wilson,Mr..Alex.Wilson@gmail.com,9715044959,switched off,not reachable,"Completed Monday, 14 November 2016, 6:44 PM","Completed Monday, 14 November 2016, 7:19 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Ronald Barrett,Ronald.Barrett@rediffmail.com,8375001957,"son was unwell , and also exams were going on , try to do it by week end",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Michelle Wilson,Michelle.Wilson@gmail.com,8521988002,not anwsering,not reachable,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Jeffrey Mcdonald,Jeffrey.Mcdonald@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Richard Brown,Richard.Brown@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Timothy Hill,Timothy.Hill@gmail.com,8284219664,disconnected,couldnt speak,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Christopher Carson,Christopher.Carson@gmail.com,9130693661,busy.,time issue,"Completed Wednesday, 16 November 2016, 6:47 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Lynn Smith,Lynn.Smith@gmail.com,,,,"Completed Monday, 14 November 2016, 7:02 PM","Completed Monday, 14 November 2016, 7:14 PM","Completed (achieved pass grade) Monday, 14 November 2016, 7:15 PM","Completed Monday, 14 November 2016, 7:15 PM","Completed Monday, 14 November 2016, 7:26 PM","Completed Monday, 14 November 2016, 7:35 PM","Completed Monday, 14 November 2016, 7:37 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:11 PM","Completed Sunday, 20 November 2016, 8:11 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:14 PM","Completed Sunday, 20 November 2016, 8:15 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Gary Bennett,Gary.Bennett@rediffmail.com,,,,"Completed Monday, 14 November 2016, 3:15 PM","Completed Monday, 14 November 2016, 9:19 PM","Completed (achieved pass grade) Friday, 18 November 2016, 9:03 PM","Completed Friday, 18 November 2016, 9:03 PM","Completed Friday, 18 November 2016, 9:13 PM","Not completed Thursday, 1 January 1970, 5:30 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Brandon Delgado,Brandon.Delgado@hotmail.com,,dubai no,couldnt speak,"Completed Thursday, 17 November 2016, 11:33 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Brent Rodriguez,Brent.Rodriguez@gmail.com,8668548799,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Lisa Raymond,Lisa.Raymond@gmail.com,9285620126,will complete in dec as  son has exams till first week of dec,time issue,"Completed Wednesday, 16 November 2016, 11:48 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Thomas Perez DDS,Thomas.Perez.DDS@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Maria Clark,Maria.Clark@yahoo.com,NA,NA,NA,"Completed Sunday, 20 November 2016, 10:40 AM","Completed Sunday, 20 November 2016, 10:57 AM","Completed (achieved pass grade) Sunday, 20 November 2016, 11:01 AM","Completed Sunday, 20 November 2016, 11:01 AM","Completed Sunday, 20 November 2016, 11:18 AM","Completed Sunday, 20 November 2016, 11:23 AM","Completed Sunday, 20 November 2016, 11:24 AM","Completed (achieved pass grade) Sunday, 20 November 2016, 11:31 AM","Completed Sunday, 20 November 2016, 11:32 AM","Completed (achieved pass grade) Sunday, 20 November 2016, 11:40 AM","Completed Sunday, 20 November 2016, 11:40 AM","Completed Sunday, 20 November 2016, 11:55 AM","Completed Sunday, 20 November 2016, 11:55 AM","Completed Sunday, 20 November 2016, 11:56 AM","Completed (achieved pass grade) Sunday, 20 November 2016, 11:57 AM","Completed Sunday, 20 November 2016, 11:57 AM","Completed Sunday, 20 November 2016, 12:00 PM"
Dr. Terry Austin DDS,Dr..Terry.Austin.DDS@gmail.com,,,,"Completed Tuesday, 15 November 2016, 11:46 AM","Completed Saturday, 19 November 2016, 7:49 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 7:53 PM","Completed Saturday, 19 November 2016, 7:54 PM","Completed Saturday, 19 November 2016, 8:26 PM","Completed Saturday, 19 November 2016, 8:42 PM","Completed Saturday, 19 November 2016, 8:42 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 8:52 PM","Completed Saturday, 19 November 2016, 8:52 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Marvin Underwood Jr.,Marvin.Underwood.Jr.@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Sydney Moore,Sydney.Moore@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Brittany Reed,Brittany.Reed@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Rickey Payne,Rickey.Payne@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Jamie Castro,Jamie.Castro@icloud.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
John Brown,John.Brown@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Lisa Davis,Lisa.Davis@gmail.com,8378955298,unable to login. Vivek will talk,Tech issue,"Completed Monday, 14 November 2016, 1:25 PM","Completed Monday, 14 November 2016, 2:11 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
David Johnson,David.Johnson@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Eric Rojas,Eric.Rojas@hotmail.com,9594922431,will complete in a day or two,time issue,"Completed Monday, 14 November 2016, 9:27 PM","Completed Monday, 14 November 2016, 9:36 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Linda Turner,Linda.Turner@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Shannon Warren,Shannon.Warren@gmail.com,NA,NA,NA,"Completed Monday, 14 November 2016, 2:38 PM","Completed Monday, 14 November 2016, 2:47 PM","Completed (achieved pass grade) Monday, 14 November 2016, 2:48 PM","Completed Monday, 14 November 2016, 2:48 PM","Completed Monday, 14 November 2016, 2:57 PM","Completed Monday, 14 November 2016, 2:59 PM","Completed Monday, 14 November 2016, 2:59 PM","Completed (achieved pass grade) Monday, 14 November 2016, 3:07 PM","Completed Monday, 14 November 2016, 3:08 PM","Completed (achieved pass grade) Monday, 14 November 2016, 3:13 PM","Completed Monday, 14 November 2016, 3:13 PM","Completed Monday, 14 November 2016, 3:26 PM","Completed Monday, 14 November 2016, 3:26 PM","Completed Monday, 14 November 2016, 3:33 PM","Completed (achieved pass grade) Monday, 14 November 2016, 3:40 PM","Completed Monday, 14 November 2016, 3:40 PM","Completed Monday, 14 November 2016, 3:45 PM"
Clinton Martin,Clinton.Martin@gmail.com,NA,NA,NA,"Completed Monday, 21 November 2016, 11:28 AM","Completed Monday, 21 November 2016, 11:33 AM","Completed (achieved pass grade) Monday, 21 November 2016, 11:34 AM","Completed Monday, 21 November 2016, 11:34 AM","Completed Monday, 21 November 2016, 11:36 AM","Completed Monday, 21 November 2016, 11:39 AM","Completed Monday, 21 November 2016, 11:40 AM","Completed (achieved pass grade) Monday, 21 November 2016, 11:41 AM","Completed Monday, 21 November 2016, 11:41 AM","Completed (achieved pass grade) Monday, 21 November 2016, 11:43 AM","Completed Monday, 21 November 2016, 11:43 AM","Completed Monday, 21 November 2016, 11:56 AM","Completed Monday, 21 November 2016, 11:56 AM","Completed Monday, 21 November 2016, 11:56 AM","Completed (achieved pass grade) Monday, 21 November 2016, 12:00 PM","Completed Monday, 21 November 2016, 12:01 PM","Completed Monday, 21 November 2016, 12:06 PM"
Karen Wade,Karen.Wade@gmail.com,8999362217,"did not get time to do it, asked to send a link ",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Lawrence Chavez,Lawrence.Chavez@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Richard Walker,Richard.Walker@rediffmail.com,8051230425,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Paige Hansen,Paige.Hansen@yahoo.co.in,8268034458,not anwsering,not reachable,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Alexander Perkins,Alexander.Perkins@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
